Milestone,2019 Completion Percentage,2020 Completion Percentage,2021 Completion Percentage,2022 Completion Percentage,2023 Completion Percentage,2024 Completion Percentage
"Milestone 01:  From Year 2 onwards, forest quality and extent (at 1.1 million hectares) maintained within the PA network, thereby securing the storage of 240 million tons of carbon dioxide equivalent and increasing climate resilience through forest ecosystem conservation",0.00,0.00,0.00,0.00,0.00,0.00
"Milestone 02: By Year 4, degraded lands within the PA network are brought under climate-smart reforestation mechanisms to enhance the carbon stock (above and below ground) and increase climate resiliency ",25.00,36.52,52.05,53.05,67.63,69.36
"Milestone 03:  By Year 8, all communities living within PAs value, support, and engage in conservation initiatives, including waste management and climate change adaptation. ",124.37,207.09,274.71,315.94,331.54,497.63
"Milestone 04:  From Year 7 onwards, all communities living within PAs use traditional knowledge, best available science, and technologies to increase their climate and disaster resilience",0.00,4.80,4.96,4.96,21.44,35.47
"Milestone 05:  By Year 4, 80% of all households within PAs benefit from reduced human wildlife conflict as a result of adoption of appropriate policies, technologies and systems",2.67,31.50,101.33,127.50,134.40,136.60
"Milestone 06: By Year 9, 80% of all households within PAs have increased access to nature-based employment and income-generating opportunities including eco-tourism, enhancing their resilience to climate change ",0.32,0.32,0.55,0.55,4.90,15.03
"Milestone 07:  By Year 6, populations of tigers and snow leopards, two flagship species that represent major ecosystems, are increased or stable (tigers increased by at least 20% over 2015 levels, and snow leopards stable at 2016 levels)",0.00,0.00,0.00,0.00,106.50,106.50
"Milestone 08: By Year 6, information on the conservation status of ten other high-profile, lesser known, endangered or endemic flora and fauna species established, and five climate-smart species conservation plans developed (in addition to those for tigers and snow leopards)",0.00,0.00,40.00,80.00,120.00,120.00
"Milestone 09.  By Year 2, Zero Poaching Framework and SMART/effective patrolling instituted in all PAs/BCs to prevent, combat and monitor poaching, wildlife trade, and other illegal activities",100.00,100.00,100.00,100.00,100.00,100.00
"Milestone 10: By Year 6, key high biodiversity and climate resilience value habitats (and areas that connect them) are under improved management",33.31,45.76,71.01,75.01,79.83,94.65
"Milestone 11:  By Year 6, at least one high conservation, economic and culturally valued stretch of river linked to a PA is designated as free-flowing and effectively managed  to continue to provide important ecosystem services for conservation and climate-resilience of local communities",0.00,0.00,0.00,0.00,0.00,0.00
"Milestone 12:  By Year 7, watershed conditions in ten critical catchments within the protected area network (one per PA) are improved for climate resilience, wildlife and socio-economic development",0.00,0.00,0.00,100.00,100.00,100.00
"Milestone 13: By Year 7, National Five Year Plans and all PA/BC management plans incorporate natural capital valuation, key ecosystem services provided by PAs/BCs, and salient climate change risks and mitigation/adaptation strategies",0.00,0.00,0.00,0.00,0.00,0.00
"Milestone 14.  By Year 2, the PA network has climate-smart management plans and a system to track management effectiveness, and by Year 6 the PA network is clearly demarcated",0.00,0.00,0.00,0.00,0.00,0.00
"Milestone 15: By Year 5, PAs/BCs are equipped with adequate and competent staff, and by Year 10, all PAs/BCs are equipped with essential equipment and infrastructure",70.04,76.61,84.27,92.34,100.00,100.00
"Milestone 16: By Year 8, new sources of long-term sustainable financing for Bhutanâ€™s PAs have been developed, approved by the RGoB, implemented, and are producing funding that is flowing to the PAs.",0.00,0.00,0.00,0.00,0.00,0.00
